Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close,Brand,Unnamed: 0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Mapped Canton
"Rue de la Treille 4, 2000 Neuchâtel, Switzerland",Rue de la Treille 4,2000,Neuchâtel,Neuchâtel,Switzerland,46.9905282,6.9296358,4.0,362.0,Coop Supermarché Neuchâtel La Treille,ChIJhbcC2RMKjkcRjpOIoQo6LUQ,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,1900.0,2000.0,1900.0,1800.0,COOP,208.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Rue des Poudrières 137, 2000 Neuchâtel, Switzerland",Rue des Poudrières 137,2000,Neuchâtel,Neuchâtel,Switzerland,46.9881663,6.9093795,3.9,306.0,Coop Supermarché Neuchâtel Vauseyon,ChIJlaQW6ODhjUcRim3_grugDeI,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,1900.0,2000.0,1900.0,1800.0,COOP,209.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Rue des Epancheurs 3, 2000 Neuchâtel, Switzerland",Rue des Epancheurs 3,2000,Neuchâtel,Neuchâtel,Switzerland,46.9900165,6.930166799999999,4.1,1078.0,Coop City Neuchâtel,ChIJGYGpSJ4LjkcR1maa3-iaV6Y,,800.0,800.0,800.0,800.0,800.0,800.0,,1900.0,1900.0,1900.0,2000.0,1900.0,1800.0,COOP,210.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Espa. de l'Europe 3, 2000 Neuchâtel, Switzerland",Espa. de l'Europe 3,2000,Neuchâtel,Neuchâtel,Switzerland,46.9968716,6.936719600000001,3.9,453.0,Coop Pronto Neuchâtel Gare,ChIJ13jwVRgKjkcRMwHt0EX8J5Q,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COOP,211.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
"Rue des Uttins 1, 2034 Peseux, Switzerland",Rue des Uttins 1,2034,Peseux,Neuchâtel,Switzerland,46.9884853,6.8912339,4.0,495.0,Coop Supermarché Peseux,ChIJz1Gss-rhjUcR5l9cmO-h1kk,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,1900.0,2000.0,1900.0,1800.0,COOP,212.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Pl. des Halles 13, 2000 Neuchâtel, Switzerland",Pl. des Halles 13,2000,Neuchâtel,Neuchâtel,Switzerland,46.9904338,6.9286542,5.0,8.0,Coopérative des Halles,ChIJj2BGhhEKjkcRSBOVEU9EjbA,,,,,,,,,,,,,,,COOP,213.0,,,,,,,,
"Rue des Epancheurs 3, 2000 Neuchâtel, Switzerland",Rue des Epancheurs 3,2000,Neuchâtel,Neuchâtel,Switzerland,46.9900165,6.930166799999999,4.1,308.0,Coop Restaurant Neuchâtel,ChIJOcRX2BMKjkcR2owp-bJfhmQ,,800.0,800.0,800.0,800.0,800.0,800.0,,1900.0,1900.0,1900.0,2000.0,1900.0,1800.0,COOP,214.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Röschibachstrasse 22, 8037 Zürich, Switzerland",Röschibachstrasse 22,8037,Zürich,Zürich,Switzerland,47.39277389999999,8.524647000000002,3.9,326.0,Coop Supermarkt Zürich Wipkingerbrücke,ChIJ-Vog-GkKkEcRSpN3HDvClnY,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,COOP,215.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Scheffelstrasse 12, 8037 Zürich, Switzerland",Scheffelstrasse 12,8037,Zürich,Zürich,Switzerland,47.3938049,8.529575200000002,3.9,337.0,Coop Supermarkt Zürich Scheffelstrasse,ChIJWcZrL2kKkEcRdFqDH3JcdDE,,700.0,700.0,700.0,700.0,700.0,700.0,,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,COOP,216.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Milchbuckstrasse 1/5, 8057 Zürich, Switzerland",Milchbuckstrasse 1/5,8057,Zürich,Zürich,Switzerland,47.39567,8.5404066,3.8,441.0,Coop Supermarkt Zürich Milchbuck,ChIJXU7khXAKkEcRyiofAm8qceM,,730.0,730.0,730.0,730.0,730.0,730.0,,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,COOP,217.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Universitätstrasse 101, 8006 Zürich, Switzerland",Universitätstrasse 101,8006,Zürich,Zürich,Switzerland,47.3839569,8.5480604,3.7,120.0,Coop Supermarkt Zürich Rigiplatz,ChIJ6UrCT6CgmkcRc66BhyTAc04,,700.0,700.0,700.0,700.0,700.0,730.0,,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,COOP,218.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Universitätstrasse 73, 8006 Zürich, Switzerland",Universitätstrasse 73,8006,Zürich,Zürich,Switzerland,47.3825177,8.548023800000001,3.9,276.0,Coop Supermarkt Zürich Universitätstrasse,ChIJkzTA46CgmkcRdMqv-tjwERQ,,700.0,700.0,700.0,700.0,700.0,730.0,,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,COOP,219.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Schwamendingenstrasse 39, 8050 Zürich, Switzerland",Schwamendingenstrasse 39,8050,Zürich,Zürich,Switzerland,47.4076242,8.5490836,4.0,287.0,Coop Supermarkt Zürich Dorflinde,ChIJk3synY8KkEcRPiSd8bYbHLo,,700.0,700.0,700.0,700.0,700.0,700.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,COOP,220.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Hofwiesenstrasse 370, 8050 Zürich, Switzerland",Hofwiesenstrasse 370,8050,Zürich,Zürich,Switzerland,47.41119589999999,8.5444925,4.1,441.0,Coop,ChIJ1WK49PgLkEcRRjRLrDyP_qs,,600.0,600.0,600.0,600.0,600.0,600.0,,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,COOP,221.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Röntgenstrasse 48, 8005 Zürich, Switzerland",Röntgenstrasse 48,8005,Zürich,Zürich,Switzerland,47.38475269999999,8.527192099999997,4.0,221.0,Coop Supermarkt Zürich Josefstrasse,ChIJBw6ifhQKkEcRfijxLgDRXOQ,,700.0,700.0,700.0,700.0,700.0,700.0,,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,COOP,222.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Wallisellenstrasse 1, 8050 Zürich, Switzerland",Wallisellenstrasse 1,8050,Zürich,Zürich,Switzerland,47.4103731,8.5466843,4.3,1159.0,Coop Supermarkt City Zürich Oerlikon Food,ChIJB1QWpoYKkEcRgWviq2UyNOk,,800.0,800.0,800.0,800.0,800.0,800.0,,2000.0,2000.0,2000.0,2000.0,2000.0,1800.0,COOP,223.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Andreasstrasse 5, 8050 Zürich, Switzerland",Andreasstrasse 5,8050,Zürich,Zürich,Switzerland,47.41290499999999,8.5473555,4.3,137.0,Coop Supermarkt Zürich Andreasturm,ChIJIbLL9VYLkEcRbWHefo1OQxw,,630.0,630.0,630.0,630.0,630.0,800.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,COOP,224.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
