Type,Store ID,Name,Address,Opening Hour,Zip Code,City,Canton
MM-Migros,150081,Schlieren - Rietbach,"Rietbachstrasse 14, 8952 Schlieren",,8952,Schlieren,Zürich
M-Migros,150198,Schlieren - Zentrum,"Güterstrasse 5, 8952 Schlieren",,8952,Schlieren,Zürich
M-Migros,83640,Schoenberg,"Chemin Cité-des-Jardins 13A, 1700 Fribourg",,1700,Fribourg,Fribourg
M-Migros,33260,Schwarzenburg,"Freiburgstrasse 5b, 3150 Schwarzenburg",,3150,Schwarzenburg,Bern
M-Migros,33883,Schöftland,"Picardiestrasse 3, 5040 Schöftland",,5040,Schöftland,Aargau
MMM-Migros,34700,Schönbühl - Shoppyland,"Industriestrasse 10, 3321 Schönbühl EKZ",,3321,Schönbühl,Bern
M-Migros,33783,Schönenwerd,"C.F. Ballystrasse 14, 5012 Schönenwerd",,5012,Schönenwerd,Solothurn
M-Migros,73830,Schüpfheim,"Vormüli 1, 6170 Schüpfheim",,6170,Schüpfheim,Luzern
M-Migros,136480,Sembrancher,"Rue de la Chapalette 1, 1933 Sembrancher",,1933,Sembrancher,Valais
M-Migros,123860,Sementina,"via al Ticino 28, 6514 Sementina",,6514,Sementina,Ticino
M-Migros,73910,Sempach Station,"Mettenwilstrasse 11, 6203 Sempach Station",,6203,Sempach,Luzern
M-Migros,33913,Seon,"Unterdorfstrasse 21, 5703 Seon",,5703,Seon,Aargau
MM-Migros,44810,Servette,"Rue de la Servette 93, 1202 Genève",,1202,Genève,Genève
M-Migros,93720,Seuzach,"Winterthurerstrasse 5, 8472 Seuzach",,8472,Seuzach,Zürich
MM-Migros,134500,Sierre,"Avenue Général Guisan, 3960 Sierre",,3960,Sierre,Valais
Migros Fachmarkt,134510,Sierre Rossfeld,"Rte des Lacustres, 3960 Sierre",,3960,Sierre,Valais
M-Migros,133690,Sion - Le Ritz,"Avenue Ritz 31, 1950 Sion",,1950,Sion,Valais
MMM-Migros,134900,Sion - Métropole,"Avenue de France 14-20, 1950 Sion",,1950,Sion,Valais
M-Migros,133697,Sion - Tourbillon Center,"Avenue Grand-Champsec 30, 1950 Sion",,1950,Sion,Valais
M-Migros,90377,Sirnach,"Winterthurerstrasse 27, 8370 Sirnach",,8370,Sirnach,Zürich
MM-Migros,23830,Sissach,"Hauptstrasse 17, 4450 Sissach",,4450,Sissach,Basel-Landschaft
M-Migros,34373,Solothurn,"Wengistrasse 13, 4500 Solothurn",,4500,Solothurn,Solothurn
M-Migros,33853,Solothurn Baselstrasse,"Baselstrasse 30/32, 4500 Solothurn",,4500,Solothurn,Solothurn
M-Migros,33833,Solothurn Öufi,"Bielstrasse 80, 4500 Solothurn",,4500,Solothurn,Solothurn
MM-Migros,34280,Spiez - Terminus,"Bahnhofstrasse, 3700 Spiez",,3700,Spiez,Bern
MMM-Migros,34833,Spreitenbach - Tivoli,"Shoppi Tivoli, 8957 Spreitenbach",,8957,Spreitenbach,Zürich
M-Migros,83690,St-Imier,"Rue Baptiste-Savoye 62, 2610 St-Imier",,2610,St,Bern
M-Migros,133730,St-Maurice,"Av. du Simplon 15, 1890 St-Maurice",,1890,St,Vaud
M-Migros,90364,St. Gallen - Bruggen,"Fürstenlandstrasse 157, 9014 St.Gallen",,9014,St,Zürich
M-Migros,90321,St. Gallen - Lachen,"Ulmenstrasse 11, 9000 St.Gallen",,9000,St,Zürich
M-Migros,90335,St. Gallen - Langgasse,"Langgasse 20, 9008 St. Gallen",,9008,St,Zürich
M-Migros,90336,St. Gallen - Neudorf,"Rorschacherstrasse 249, 9016 St. Gallen",,9016,St,Zürich
MMM-Migros,90478,St. Gallen - Neumarkt,"St. Leonhardstrasse 35, 9000 St. Gallen",,9000,St,Zürich
M-Migros,90447,St. Gallen - Silberturm,"Rorschacherstrasse 150, 9006 St. Gallen",,9006,St,Zürich
M-Migros,90339,St. Gallen - Spisermarkt,"Brühlgasse 28, 9000 St.Gallen",,9000,St,Zürich
MM-Migros,90448,St. Gallen - St. Fiden,"Bachstrasse 29, 9008 St. Gallen",,9008,St,Zürich
MMM-Migros,90475,St. Margrethen - Rheinpark,"Neudorfstrasse 60, 9430 St. Margrethen SG",,9430,St,Zürich
Migros-Partner,137265,St. Niklaus,"Eyastrasse 1, 3924 St. Niklaus VS",,3924,St,Valais
Migros-Partner,137255,Stalden,"Zum Marktplatz, 3922 Stalden VS",,3922,Stalden,Valais
MMM-Migros,74720,Stans - Länderpark,"Bitzistrasse 2, 6370 Stans",,6370,Stans,Nidwalden
MM-Migros,83830,Ste-Thérèse,"Route de Sainte-Thérèse 2a, 1700 Fribourg",,1700,Fribourg,Fribourg
M-Migros,93740,Steckborn,"Im Feldbach 1b, 8266 Steckborn",,8266,Steckborn,Zürich
M-Migros,33690,Steffisburg,"Oberdorfstrasse 33, 3612 Steffisburg",,3612,Steffisburg,Bern
MM-Migros,34180,Steffisburg Unterdorf,"Unterdorfstrasse 10, 3612 Steffisburg",,3612,Steffisburg,Bern
M-Migros,134260,Steg,"Bahnhofstrasse, 3940 Steg",,3940,Steg,Valais
M-Migros,33673,Stein,"Schaffhauserstrasse 61, 4332 Stein AG",,4332,Stein,Basel-Landschaft
M-Migros,94300,Stein am Rhein,"Kaltenbacherstrasse 41, 8260 Stein am Rhein",,8260,Stein,Zürich
MMM-Migros,74710,Steinhausen - Zugerland,"Hinterbergstrasse 40, 6312 Steinhausen",,6312,Steinhausen,Luzern
M-Migros,73970,Steinhausen Dorf,"Bahnhofstrasse 2, 6312 Steinhausen",,6312,Steinhausen,Luzern
MM-Migros,150069,Stäfa,"Goethestrasse 18, 8712 Stäfa",,8712,Stäfa,Zürich
M-Migros,33684,Suhr Suhrepark,"Bernstrasse Ost 52, 5034 Suhr",,5034,Suhr,Aargau
M-Migros,90383,Sulgen - Passerelle,"Hauptstrasse 3, 8583 Sulgen",,8583,Sulgen,Zürich
MMM-Migros,74700,Surseepark,"Bahnhofstrasse 28, 6210 Sursee",,6210,Sursee,Luzern
Migros-Partner,137230,Susten,"Sustenstrasse 5, 3952 Susten",,3952,Susten,Valais
Migros-Partner,137203,Taesch,"Neue Kantonstrasse, 3929 Täsch",,3929,Täsch,Valais
M-Migros,83740,Tavannes,"Rue de Pierre-Pertuis 11, 2710 Tavannes",,2710,Tavannes,Bern
M-Migros,123800,Taverne,"Via Cantonale, 6807 Taverne",,6807,Taverne,Ticino
M-Migros,123770,Tenero,"Via al Giardino 4, 6598 Tenero",,6598,Tenero,Ticino
M-Migros,123690,Tesserete,"Via Luigi Canonica 40, 6950 Tesserete",,6950,Tesserete,Ticino
M-Migros,90385,Teufen,"Speicherstrasse 8, 9053 Teufen AR",,9053,Teufen,Zürich
M-Migros,90328,Thal,"Wiesentalstrasse 4, 9425 Thal",,9425,Thal,Zürich
MM-Migros,150066,Thalwil,"Alte Landstrasse 130, 8800 Thalwil",,8800,Thalwil,Zürich
M-Migros,93710,Thayngen,"Biberstrasse 30, 8240 Thayngen",,8240,Thayngen,Zürich
Migros-Partner,63200,Thierrens,"Rue du Collège 6, 1410 Thierrens",,1410,Thierrens,Vaud
MMM-Migros,49000,Thoiry (F),"CC Val Thoiry, 01710 Thoiry",,01710,Thoiry,Fribourg
MM-Migros,34250,Thun - Bälliz,"Bälliz 2, 3600 Thun",,3600,Thun,Bern
M-Migros,33680,Thun - Dürrenast,"Frutigenstrasse 60, 3604 Thun",,3604,Thun,Bern
MMM-Migros,34720,Thun - Oberland,"Talackerstrasse 62, 3604 Thun",,3604,Thun,Bern
Migros Fachmarkt,33250,Thun - Panorama Center,"Weststrasse 14, 3604 Thun",,3604,Thun,Bern
MM-Migros,90466,Thusis - im Park,"Im Park, 7430 Thusis",,7430,Thusis,Graubünden
MM-Migros,44830,Thônex,"Rue de Genève 92, 1226 Thônex",,1226,Thônex,Genève
