Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Dolderstrasse 5, 8032 Zürich, Switzerland",Dolderstrasse 5,8032,Zürich,Zürich,Switzerland,47.3703237,8.556849999999999,4.1,101,SPAR,ChIJByNz1bOgmkcRfF5v1v-wqvA,,0700,0700,0700,0700,0700,0700,,2100,2100,2100,2100,2100,1900
"Hardturmstrasse 126, 8005 Zürich, Switzerland",Hardturmstrasse 126,8005,Zürich,Zürich,Switzerland,47.393554,8.5131344,3.6,73,SPAR express,ChIJPYPcg-ULkEcR3fwzpotDONM,,0700,0700,0700,0700,0700,0900,,2000,2000,2000,2000,2000,1800
"Forchstrasse 140, 8032 Zürich, Switzerland",Forchstrasse 140,8032,Zürich,Zürich,Switzerland,47.3603586,8.563469900000001,4.0,45,SPAR Supermarkt Zürich Forchstrasse,ChIJyW4V-zWnmkcRqIhXwo6RgoQ,,0700,0700,0700,0700,0700,0800,,2000,2000,2000,2000,2000,1900
"Hottingerstrasse 2, 8032 Zürich, Switzerland",Hottingerstrasse 2,8032,Zürich,Zürich,Switzerland,47.3703542,8.549406499999998,4.0,89,SPAR express Zürich Schauspielhaus,ChIJy90vI6ygmkcRvGcuE-1MqQ4,,0600,0600,0600,0600,0600,0600,,2200,2200,2200,2200,2200,2200
"Toblerpl. 5, 8044 Zürich, Switzerland",Toblerpl. 5,8044,Zürich,Zürich,Switzerland,47.37911,8.5597862,4.1,96,SPAR express Zürich Toblerplatz,ChIJSxxYmbugmkcRgGXMY2ke_rc,,0630,0630,0630,0630,0630,0630,,2100,2100,2100,2100,2100,2100
"Freilagerstrasse 51, 8047 Zürich, Switzerland",Freilagerstrasse 51,8047,Zürich,Zürich,Switzerland,47.3800427,8.4896586,4.2,208,SPAR,ChIJjRPzD9ILkEcRJ1OiJpXlD48,,0700,0700,0700,0700,0700,0700,,2100,2100,2100,2100,2100,2100
"Neunbrunnenstrasse 40, 8050 Zürich, Switzerland",Neunbrunnenstrasse 40,8050,Zürich,Zürich,Switzerland,47.4173318,8.5405674,4.9,75,Spar Express Neunbrunnenstrasse,ChIJSydOGBQLkEcRX7UVCJHAeVg,,0600,0600,0600,0600,0600,0700,,2200,2200,2200,2200,2200,2200
"Spinnereipl. 2, 8041 Zürich, Switzerland",Spinnereipl. 2,8041,Zürich,Zürich,Switzerland,47.3383408,8.5202649,4.3,58,SPAR Supermarkt Zürich,ChIJF8saEAMJkEcRypNFI8jXOXc,,0700,0700,0700,0700,0700,0700,,2200,2200,2200,2200,2200,2200
"Mythenquai 349b, 8038 Zürich, Switzerland",Mythenquai 349b,8038,Zürich,Zürich,Switzerland,47.3459131,8.534711,5.0,8,Spar Express Mythenquai,ChIJp54goXKnmkcRIle6M6u3BqU,0600,0600,0600,0600,0600,0600,0600,0000,0000,0000,0000,0000,0000,0000
"Aarauerstrasse 21, 5603 Staufen, Switzerland",Aarauerstrasse 21,5603,Staufen,Aargau,Switzerland,47.3869,8.169671,4.1,248,EUROSPAR Supermarkt Staufen,ChIJjdRXmgUWkEcRMe4gYZhT1HE,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1900,1900,1800
"Bahnhofstrasse 92, 5430 Wettingen, Switzerland",Bahnhofstrasse 92,5430,Wettingen,Aargau,Switzerland,47.46442400000001,8.328797999999999,4.1,111,SPAR Supermarkt Wettingen,ChIJR3dYRSptkEcRg1AqU6l3A0I,,0700,0700,0700,0700,0700,0700,,2100,2100,2100,2100,2100,2000
"Fislisbacherstrasse 4, 5406 Baden, Switzerland",Fislisbacherstrasse 4,5406,Baden,Aargau,Switzerland,47.43854199999999,8.271346,4.3,101,SPAR Supermarkt Baden-Rütihof,ChIJLYXoY2ITkEcRNiOm3xi3G58,,0700,0700,0700,0700,0700,0700,,2000,2000,2000,2000,2000,1900
"Wohlerstrasse 55, 5620 Bremgarten, Switzerland",Wohlerstrasse 55,5620,Bremgarten,Aargau,Switzerland,47.3551118,8.3252465,4.7,30,SPAR express Bremgarten,ChIJ7Q3Xv8IRkEcRiYBHilMJTaQ,0600,0500,0500,0500,0500,0500,0600,2300,2300,2300,2300,2300,2300,2300
"Bahnhofstrasse 82, 8957 Spreitenbach, Switzerland",Bahnhofstrasse 82,8957,Spreitenbach,Zürich,Switzerland,47.42548799999999,8.3620469,4.0,218,SPAR Supermarkt Spreitenbach,ChIJ2W0xOYISkEcRO1lvEVpHP2s,,0700,0700,0700,0700,0700,0700,,2100,2100,2100,2100,2100,2000
"Altmattweg 1, 4802 Strengelbach, Switzerland",Altmattweg 1,4802,Strengelbach,Aargau,Switzerland,47.2804622,7.9301631,4.2,151,SPAR,ChIJE3cxvWQvkEcRcL2jBLMpWA0,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1800
"Bahnhofstrasse 17, 5300 Turgi, Switzerland",Bahnhofstrasse 17,5300,Turgi,Aargau,Switzerland,47.4944634,8.252662899999999,4.3,210,SPAR Supermarkt Turgi,ChIJywaBUBBrkEcRgI0HJjEUbM8,,0700,0700,0700,0700,0700,0700,,2000,2000,2000,2000,2000,1900
