Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Schweizerhofstrasse 10, 8750 Glarus, Switzerland",Schweizerhofstrasse 10,8750,Glarus,Zürich,Switzerland,47.0408134,9.0708913,4.1,155,Denner Discount,ChIJFUhvQa0thUcRMqHI0bwSDXM,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1900,1900,1900
"Rue de l'Abbé-Monnin 20, 2854 Bassecourt, Switzerland",Rue de l'Abbé-Monnin 20,2854,Bassecourt,Jura,Switzerland,47.33712779999999,7.245993400000001,4.3,297,Denner Partner,ChIJof4VwVLkkUcRuiWNJTqBMP0,,0700,0700,0700,0700,0700,0700,,1830,1830,1830,1830,1830,1700
"Rte de Courgenay 7, 2942 Alle, Switzerland",Rte de Courgenay 7,2942,Alle,Jura,Switzerland,47.4244963,7.126822199999999,4.4,205,Denner Partner,ChIJZ-yEACjxkUcRqn5QKpk7qj0,,0700,0700,0700,0700,0700,0700,,1830,1830,1830,1830,1830,1700
"Rue du 23 Juin, 2822 Courroux, Switzerland",Rue du 23 Juin,2822,Courroux,Jura,Switzerland,47.3617158,7.3735834,4.3,427,Denner Partner,ChIJObq_1frnkUcR_Mru2dY_Dd8,,0700,0700,0700,0700,0700,0700,,1830,1830,1830,2000,1830,1700
"Rue de l'Avenir 3, 2800 Delémont, Switzerland",Rue de l'Avenir 3,2800,Delémont,Jura,Switzerland,47.3647966,7.347771600000001,4.3,31,Denner Discount,ChIJA0XRNTvnkUcRdUaoTrJd6-U,,0800,0800,0800,0800,0800,0730,,1830,1830,1830,2000,1830,1700
"Rue H.F. Sandoz 14, 2710 Tavannes, Switzerland",Rue H.F. Sandoz 14,2710,Tavannes,Bern,Switzerland,47.2190512,7.199103099999999,4.0,209,Denner Partner,ChIJh3HOEHwdjkcR_Aq6VmBH-ZM,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,1900,1700
"Rte Sainte-Thérèse 2, 1700 Fribourg, Switzerland",Rte Sainte-Thérèse 2,1700,Fribourg,Fribourg,Switzerland,46.810154,7.148015300000001,4.0,112,Denner Discount,ChIJuyD1m8xujkcRpN-UAvu7HLc,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,2100,1600
"Via da Manaröl 681, 7550 Scuol, Switzerland",Via da Manaröl 681,7550,Scuol,Graubünden,Switzerland,46.796833,10.3075008,4.2,122,Denner Express,ChIJw0ioOJtHg0cRbIC2TYrGJ2g,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1900,1900,1800
"Baarerstrasse 22, 6300 Zug, Switzerland",Baarerstrasse 22,6300,Zug,Zug,Switzerland,47.1734097,8.5170712,3.9,120,Denner Discount,ChIJ31dVVfGqmkcRKhWRV-Siv_Q,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,2000,1900,1700
"Baarerstrasse 8, 6300 Zug, Switzerland",Baarerstrasse 8,6300,Zug,Zug,Switzerland,47.1712187,8.5165791,4.2,56,Denner Express,ChIJyY0K5_eqmkcRi8npzm9FTwk,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1900,1700
"Hertizentrum 10, 6303 Zug, Switzerland",Hertizentrum 10,6303,Zug,Zug,Switzerland,47.17804039999999,8.505821,4.2,31,Denner Discount,ChIJW_hydoCrmkcRfW33pGuzO_U,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,2000,1700
