Address,Street Name,Zip Code,City,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close
"Bürenstrasse 91, 4562 Biberist, Switzerland",Bürenstrasse 91,4562,Biberist,Switzerland,47.19720900000001,7.5292271,4.2,646,ALDI SUISSE,ChIJA6nHn_EnjkcRoASkWnfAYPI,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1830,0800,1830,0800,1830,0800,1830,0800,2000,0800,1800,,
"Rte d'Oron 39, 1000 Lausanne, Switzerland",Rte d'Oron 39,1000,Lausanne,Switzerland,46.535516,6.655594599999999,3.8,656,ALDI SUISSE Lausanne,ChIJo4iQG2gujEcRWana8qUGXzc,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1900,0800,1900,0800,1900,0800,1900,0800,1900,0800,1800,,
"Av. du Chablais 3B, 1007 Lausanne, Switzerland",Av. du Chablais 3B,1007,Lausanne,Switzerland,46.5268526,6.603658099999999,4.0,736,ALDI SUISSE Lausanne,ChIJWz2JMM8xjEcRewhwxjt7BHE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1900,0800,1900,0800,1900,0800,1900,0800,1900,0800,1800,,
"Rue Saint-Martin 3, 1003 Lausanne, Switzerland",Rue Saint-Martin 3,1003,Lausanne,Switzerland,46.521581,6.6364048,3.9,1036,ALDI,ChIJEfE7ATQujEcR9a3grdltbMg,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1900,0730,1900,0730,1900,0730,1900,0730,1900,0730,1800,,
"Bd de l'Arc-en-Ciel 45, 1030 Bussigny, Switzerland",Bd de l'Arc-en-Ciel 45,1030,Bussigny,Switzerland,46.5460295,6.564338999999999,4.0,1041,Aldi,ChIJATfZim4xjEcRBCcdXYVIu0I,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1900,0800,1900,0800,1900,0800,1900,0800,2000,0800,1800,,
"Rte de Reculan 7, 1024 Ecublens, Switzerland",Rte de Reculan 7,1024,Ecublens,Switzerland,46.5391644,6.554354100000001,4.0,495,Aldi,ChIJATfZim4xjEcRTkWYYpAOLCY,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1900,0800,1900,0800,1900,0800,1900,0800,1900,0800,1800,,
"Avenue de Longemalle 1, 1020 Renens (VD), Switzerland",Avenue de Longemalle 1,1020,Renens,Switzerland,46.5288273,6.5920299,3.9,499,ALDI,ChIJW2MgSbYxjEcRnkuSl7sUu0Q,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1900,0730,1900,0730,1900,0730,1900,0730,1900,0730,1700,,
"Rue de la Chenalette 177, 1163 Etoy, Switzerland",Rue de la Chenalette 177,1163,Etoy,Switzerland,46.47373229999999,6.427449500000001,3.9,339,ALDI SUISSE Etoy,ChIJATfZim4xjEcR3gD5TWb1VUo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1900,0800,1900,0800,1900,0800,2000,0800,1900,0800,1900,,
"Rue de Lausanne 47, 1110 Morges, Switzerland",Rue de Lausanne 47,1110,Morges,Switzerland,46.516306,6.5057885,4.0,778,ALDI SUISSE Morges,ChIJy3mJ6iI3jEcRPE2YZSbraOg,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1845,0800,1845,0800,1845,0800,1845,0800,2000,0800,1800,,
"Rte de Gland 36, 1267 Vich, Switzerland",Rte de Gland 36,1267,Vich,Switzerland,46.426064,6.253407499999999,4.1,736,ALDI SUISSE Vich,ChIJKQO6SKREjEcReclcp-G9MPk,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1930,0730,1930,0730,1930,0730,1930,0730,2000,0730,1800,,
