Unnamed: 0,Address,Street Name,Zip Code,City,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Canton
151,"Röntgenstrasse 48, 8005 Zürich, Switzerland",Röntgenstrasse 48,8005,Zürich,Switzerland,47.38475269999999,8.527192099999997,4.0,221,Coop Supermarkt Zürich Josefstrasse,ChIJBw6ifhQKkEcRfijxLgDRXOQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,,,Zürich
152,"Giessereistrasse 18, 8005 Zürich, Switzerland",Giessereistrasse 18,8005,Zürich,Switzerland,47.3907648,8.5182885,4.1,243,Coop Supermarkt Zürich Puls 5,ChIJXWesJkEKkEcRMMVu8fdKVq4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,800.0,1800.0,,,Zürich
153,"Hohlstrasse 35, 8004 Zürich, Switzerland",Hohlstrasse 35,8004,Zürich,Switzerland,47.3771023,8.526500900000002,4.0,389,Coop Supermarkt Zürich Hohlstrasse,ChIJteWyVyIKkEcRed52ybQo6ts,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,,,Zürich
154,"Zollstrasse 42, 8005 Zürich, Switzerland",Zollstrasse 42,8005,Zürich,Switzerland,47.38049549999999,8.534856,4.1,153,Coop Supermarkt Zürich Zollstrasse,ChIJycNoXQ4KkEcR9FjkT19AFzw,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,630.0,2100.0,630.0,2100.0,630.0,2100.0,630.0,2100.0,630.0,2100.0,700.0,2100.0,,,Zürich
155,"Wallisellenstrasse 1, 8050 Zürich, Switzerland",Wallisellenstrasse 1,8050,Zürich,Switzerland,47.4103731,8.5466843,4.3,1159,Coop Supermarkt City Zürich Oerlikon Food,ChIJB1QWpoYKkEcRgWviq2UyNOk,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1800.0,,,Zürich
156,"Sophie-Taeuber-Strasse 4, 8050 Zürich, Switzerland",Sophie-Taeuber-Strasse 4,8050,Zürich,Switzerland,47.41348029999999,8.5410152,4.3,790,Coop Supermarkt Zürich Eleven,ChIJW_3Lt6mgmkcRZzq9UZyzvMs,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,2100.0,730.0,2100.0,730.0,2100.0,730.0,2100.0,730.0,2100.0,730.0,2100.0,,,Zürich
157,"Röschibachstrasse 22, 8037 Zürich, Switzerland",Röschibachstrasse 22,8037,Zürich,Switzerland,47.39277389999999,8.524647000000002,3.9,326,Coop Supermarkt Zürich Wipkingerbrücke,ChIJ-Vog-GkKkEcRSpN3HDvClnY,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,,,Zürich
158,"Hofwiesenstrasse 370, 8050 Zürich, Switzerland",Hofwiesenstrasse 370,8050,Zürich,Switzerland,47.41119589999999,8.5444925,4.1,441,Coop,ChIJ1WK49PgLkEcRRjRLrDyP_qs,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,,,Zürich
159,"Badenerstrasse 333, 8003 Zürich, Switzerland",Badenerstrasse 333,8003,Zürich,Switzerland,47.37771370000001,8.5111012,4.1,846,Coop Supermarkt Zürich Albisriederplatz,ChIJifEbwyQKkEcReeGy5M0-WeE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,,,Zürich
160,"Universitätstrasse 73, 8006 Zürich, Switzerland",Universitätstrasse 73,8006,Zürich,Switzerland,47.3825177,8.548023800000001,3.9,276,Coop Supermarkt Zürich Universitätstrasse,ChIJkzTA46CgmkcRdMqv-tjwERQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,730.0,2100.0,,,Zürich
