Type,Store ID,Name,Address,Opening Hour,Zip Code,City,Canton,Longitude,Latitude
M-Migros,134250,Haute-Nendaz,"Lake Placid, rte des Ecluses 23, 1997 Haute-Nendaz",,1997,Haute,Valais,7.292200299999999,46.1819875
M-Migros,90317,Heiden,"Sonnentalstrasse 2, 9410 Heiden",,9410,Heiden,Zürich,9.5362127,47.4389092
M-Migros,33920,Heimberg,"Bernstrasse 223, 3627 Heimberg",,3627,Heimberg,Bern,7.6096897,46.782153
MM-Migros,90436,Herisau,"Gartenstrasse 2, 9100 Herisau",,9100,Herisau,Zürich,9.2839133,47.3864974
M-Migros,90318,Herisau - Alpsteinstrasse,"Alpsteinstrasse 8b, 9100 Herisau",,9100,Herisau,Zürich,9.2788133,47.3787223
MM-Migros,34290,Herzogenbuchsee,"Bernstrasse 33, 3360 Herzogenbuchsee",,3360,Herzogenbuchsee,Bern,7.703737199999999,47.18655769999999
M-Migros,34520,Hilterfingen,"Staatsstrasse 16b, 3652 Hilterfingen",,3652,Hilterfingen,Bern,7.6585091,46.7353812
MM-Migros,34380,Hinterkappelen - Chappelemärit,"Kappelenring 2, 3032 Hinterkappelen",,3032,Hinterkappelen,Bern,7.376618499999999,46.96679719999999
MM-Migros,93650,Hinwil,"Bachtelstrasse 16, 8340 Hinwil",,8340,Hinwil,Zürich,8.8446448,47.3003155
M-Migros,93850,Hittnau,"Jakob Stutz-Strasse 75, 8335 Hittnau",,8335,Hittnau,Zürich,8.825415399999999,47.3631584
M-Migros,73880,Hitzkirch,"Richensee 2, 6285 Hitzkirch",,6285,Hitzkirch,Luzern,8.2518859,47.2222081
MM-Migros,74340,Hochdorf - Seetal-Center,"Hauptstrasse 5, 6280 Hochdorf",,6280,Hochdorf,Luzern,8.2913828,47.1660917
M-Migros,150181,Hombrechtikon,"Rütistrasse 16, 8634 Hombrechtikon",,8634,Hombrechtikon,Zürich,8.7695935,47.25190689999999
MM-Migros,150055,Horgen - Schinzenhof,"Alte Landstrasse 24, 8810 Horgen",,8810,Horgen,Zürich,8.5975223,47.2604495
M-Migros,90352,Horn,"Seestrasse 119, 9326 Horn",,9326,Horn,Zürich,9.4532249,47.4971511
M-Migros,73800,Horw,"Gemeindehausplatz 14+15, 6048 Horw",,6048,Horw,Lucerne,8.3090283,47.0189969
MM-Migros,34400,Huttwil,"Bernstrasse 6, 4950 Huttwil",,4950,Huttwil,Bern,7.840236,47.1136457
MM-Migros,84210,Hôpital,"Rue de l'Hôpital 12, 2000 Neuchâtel",,2000,Neuchâtel,Neuchâtel,6.929815,46.99198699999999
M-Migros,73940,Hünenberg Dorf,"Maihölzli 5, 6331 Hünenberg",,6331,Hünenberg,Luzern,8.427283899999999,47.17510859999999
M-Migros,33280,Hünibach,"Staatsstrasse 134, 3626 Hünibach",,3626,Hünibach,Bern,7.645371799999999,46.7451639
MMM-Migros,74370,Ibach-Schwyz - Mythen-Center,"Mythen-Centerstr. 18, 6438 Ibach",,6438,Ibach,Valais,8.645852999999999,47.01541109999999
MM-Migros,90467,Ilanz - Center Marcau,"Poststrasse 4, 7130 Ilanz",,7130,Ilanz,Graubünden,9.2076595,46.774644
MM-Migros,34300,Interlaken,"Rugenparkstrasse 1, 3800 Interlaken",,3800,Interlaken,Bern,7.851885900000001,46.6813497
M-Migros,33270,Ipsach,"Dorfstrasse 1, 2563 Ipsach",,2563,Ipsach,Bern,7.235048000000001,47.1157212
MM-Migros,34510,Ittigen,"Talweg 6, 3063 Ittigen",,3063,Ittigen,Bern,7.485090599999999,46.9742036
M-Migros,150178,Jona - Stadttor,"Molkereistrasse 5, 8645 Jona",,8645,Jona,Zürich,8.837396,47.231463
Migros-Partner,150893,Kaltbrunn,"Uznacherstrasse 1, 8722 Kaltbrunn",,8722,Kaltbrunn,Zürich,9.0242369,47.2131487
M-Migros,83800,Kerzers,"Murtenstrasse 15, 3210 Kerzers",,3210,Kerzers,Fribourg,7.194056499999999,46.9734612
MM-Migros,33770,Kirchberg,"Solothurnstrasse 17a, 3422 Kirchberg BE",,3422,Kirchberg,Bern,7.5811429,47.0887436
M-Migros,90378,Kirchberg-Stelz,"Wilerstrasse 204, 9533 Kirchberg SG",,9533,Kirchberg,St. Gallen,9.0568103,47.4390012
MM-Migros,150067,Kloten,"Kirchgasse 5, 8302 Kloten",,8302,Kloten,Zürich,8.5816248,47.4509009
M-Migros,93860,Kollbrunn,"Tösstalstrasse 24, 8483 Kollbrunn",,8483,Kollbrunn,Zürich,8.769954,47.4579013
MM-Migros,34190,Konolfingen,"Thunstrasse 17, 3510 Konolfingen",,3510,Konolfingen,Bern,7.621020399999999,46.8764118
M-Migros,90349,Kreuzlingen,"Hauptstrasse 63, 8280 Kreuzlingen",,8280,Kreuzlingen,Zürich,9.1754696,47.6478869
MM-Migros,90440,Kreuzlingen - Seepark,"Bleichestrasse 15, 8280 Kreuzlingen",,8280,Kreuzlingen,Zürich,9.1957228,47.6422351
